GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
450190029002,45, South Carolina,19, Charleston County,66688.0,621,115,182,183,42,53,46
450190030001,45, South Carolina,19, Charleston County,115833.0,888,177,88,97,128,43,355
450190030002,45, South Carolina,19, Charleston County,145882.0,884,130,62,142,32,106,412
450190031041,45, South Carolina,19, Charleston County,41207.0,710,341,163,97,38,0,71
450190031042,45, South Carolina,19, Charleston County,39665.0,1094,450,330,245,69,0,0
450190031051,45, South Carolina,19, Charleston County,42269.0,730,262,197,133,69,47,22
450190031052,45, South Carolina,19, Charleston County,41136.0,658,273,218,147,10,10,0
450190031061,45, South Carolina,19, Charleston County,66133.0,1860,383,424,379,108,77,489
450190031062,45, South Carolina,19, Charleston County,34325.0,482,268,192,13,0,8,1
450190031063,45, South Carolina,19, Charleston County,38346.0,684,312,109,232,12,0,19
450190031064,45, South Carolina,19, Charleston County,75000.0,542,101,149,67,54,21,150
450190031071,45, South Carolina,19, Charleston County,75195.0,463,90,91,163,119,0,0
450190031072,45, South Carolina,19, Charleston County,71905.0,168,42,16,56,20,21,13
450190031073,45, South Carolina,19, Charleston County,73082.0,2280,349,644,541,215,159,372
450190031081,45, South Carolina,19, Charleston County,55433.0,1085,253,311,251,84,78,108
450190031082,45, South Carolina,19, Charleston County,34423.0,795,460,88,202,39,6,0
450190031091,45, South Carolina,19, Charleston County,66054.0,293,40,70,98,17,22,46
450190031092,45, South Carolina,19, Charleston County,89196.0,1297,325,124,233,140,121,354
450190031101,45, South Carolina,19, Charleston County,53775.0,1117,323,319,214,197,46,18
450190031102,45, South Carolina,19, Charleston County,44474.0,634,253,211,91,46,0,33
450190031103,45, South Carolina,19, Charleston County,50373.0,1148,293,446,356,26,0,27
450190031104,45, South Carolina,19, Charleston County,67609.0,88,16,0,72,0,0,0
450190031111,45, South Carolina,19, Charleston County,47542.0,603,231,177,136,0,59,0
450190031112,45, South Carolina,19, Charleston County,50987.0,176,12,99,65,0,0,0
450190031113,45, South Carolina,19, Charleston County,58568.0,839,161,290,286,44,0,58
450190031114,45, South Carolina,19, Charleston County,108843.0,431,70,78,53,67,59,104
450190031131,45, South Carolina,19, Charleston County,44432.0,1270,492,352,188,135,17,86
450190031132,45, South Carolina,19, Charleston County,,751,363,125,227,12,18,6
450190031151,45, South Carolina,19, Charleston County,45905.0,1030,391,334,283,22,0,0
450190031152,45, South Carolina,19, Charleston County,46016.0,851,419,146,106,62,59,59
450190031153,45, South Carolina,19, Charleston County,50880.0,1021,383,215,189,135,27,72
450190031161,45, South Carolina,19, Charleston County,39792.0,712,203,231,191,87,0,0
450190031162,45, South Carolina,19, Charleston County,70787.0,547,124,101,126,5,78,113
450190031163,45, South Carolina,19, Charleston County,60691.0,998,225,261,360,83,34,35
450190031171,45, South Carolina,19, Charleston County,81250.0,451,47,67,161,29,16,131
450190031172,45, South Carolina,19, Charleston County,62353.0,1142,297,242,417,98,46,42
450190032001,45, South Carolina,19, Charleston County,56667.0,232,29,95,78,14,7,9
450190032002,45, South Carolina,19, Charleston County,90357.0,154,25,32,73,16,6,2
